Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Il Pericolo No 1 La Donna	The Drapers   					3723779	231						19/02/2013 19:00	25/11/2012 14:02	128	32000		MPEG audio file			4	29/03/2013 17:31				B:\Music\The Drapers   Il Pericolo No 1 La Donna (egoFM MG Bassline).mp3
Hey Man 	Eels					2947751	183						30/11/2012 21:47	16/07/2012 21:23	128	44100		MPEG audio file			19	07/05/2013 16:21				B:\Music\Hey Man - Eels  WITH LYRICS (1).mp3
Mr Es beautiful blues 	Eels 					3323929	206						30/11/2012 21:46	16/07/2012 21:23	128	44100		MPEG audio file			13	02/05/2013 19:14				B:\Music\Eels - Mr Es beautiful blues (1).mp3
Next To Me	Emeli Sande					3378646	210						19/02/2013 20:17	16/07/2012 21:22	128	44100	254	MPEG audio file			4	29/03/2013 17:14	1	15/10/2012 12:23		B:\Music\Emeli Sand - Next To Me.mp3
Best Of My Love	The Emotions	The McKays/M White	100 Disco Hits [Disc 2]		Dance & House	7641264	217	2	5	11	20	1977	04/09/2012 23:10	16/07/2012 21:22	256	44100		AAC audio file			6	08/05/2013 18:18	2	28/02/2013 16:47		B:\Music\Best Of My Love.m4a
Bring Me To Life	Evanescence					1900632	237						16/02/2010 01:22	16/07/2012 21:22	64	22050		MPEG audio file			1	01/09/2012 16:10	2	21/02/2013 17:16		B:\Music\Bring me to life.mp3
My Immortal	Evanescence					2134890	266						04/09/2012 23:23	16/07/2012 21:23	64	22050		MPEG audio file			1	19/03/2013 20:05	1	16/07/2012 11:07		B:\Music\My Immortal.mp3
 Go Your Own Way	Fleetwood Mac					3602710	224						30/11/2012 21:46	16/07/2012 21:22	128	44100		MPEG audio file			11	22/04/2013 12:33				B:\Music\Fleetwood Mac - Go Your Own Way (HQ) (1).mp3
Landslide	Fleetwood Mac					4609313	229						30/11/2012 21:47	16/07/2012 21:22	160	22050		MPEG audio file			11	26/04/2013 13:57				B:\Music\Landslide by Fleetwood Mac with lyrics.mp3
Never Going Back Again	Fleetwood Mac					2253962	139						30/11/2012 21:46	16/07/2012 21:22	128	44100		MPEG audio file			16	09/05/2013 17:27	5	15/04/2013 17:05		B:\Music\Fleetwood Mac - Never Going Back Again.mp3
Songbird	Fleetwood Mac					3295920	205						30/11/2012 21:46	16/07/2012 21:22	128	44100		MPEG audio file			7	17/04/2013 10:58	4	05/03/2013 12:47		B:\Music\Fleetwood Mac - Songbird.mp3
Don't Stop Color On The Walls	Foster The People					2889634	179						30/11/2012 21:46	16/07/2012 21:22	128	44100	254	MPEG audio file			23	26/05/2013 20:13	2	07/05/2013 14:00		B:\Music\Foster The People - Don 39t Stop Color On The Walls.mp3
Call It What You Want	Foster The People 					3879486	241						30/11/2012 21:46	16/07/2012 21:22	128	44100	254	MPEG audio file			20	26/05/2013 20:20	1	07/05/2013 14:00		B:\Music\Foster The People - Call It What You Want.mp3
Houdini	Foster The People 					3251902	202						30/11/2012 21:46	16/07/2012 21:22	128	44100		MPEG audio file			19	26/05/2013 20:23				B:\Music\Foster The People - Houdini.mp3
Pumped Up Kicks	Foster The People 					4105477	255						30/11/2012 21:46	16/07/2012 21:22	128	44100	254	MPEG audio file			16	26/05/2013 20:27	1	09/05/2013 18:42		B:\Music\Foster The People - Pumped Up Kicks.mp3
Fallen Angel	Gabrielle					1656784	1646						04/09/2012 23:18	16/07/2012 21:22	8	22050		MPEG audio file			20	26/05/2013 21:23	1	21/04/2013 19:30		B:\Music\Fallen Angel By Gabrielle.mp3
Out Of Reach	Gabrielle					3307205	205						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			16	26/05/2013 21:32				B:\Music\Out Of Reach - Gabrielle.mp3
Sometimes	Gabrielle					3760138	234						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			15	26/05/2013 21:39	2	21/04/2013 19:34		B:\Music\Meredith & Derek - Sometimes (Gabrielle).mp3
Tell me what you dream 	Gabrielle					3835098	238						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			9	26/05/2013 21:43	2	21/04/2013 19:31		B:\Music\Gabrielle -Tell me what you dream - by Ciko.mp3
Don't Need The Sun To Shine	Gabrielle 					3316416	206						30/11/2012 21:46	16/07/2012 21:22	128	44100		MPEG audio file			14	26/05/2013 21:58	1	21/04/2013 19:37		B:\Music\Gabrielle - Don't Need The Sun To Shine (To Make Me Smile).mp3
Gone Daddy Gone	Gnarls Barkley	Gordon Gano/Willie Dixon	St. Elsewhere		Hip Hop/Rap	3557732	148	1	1	4		2006	04/09/2012 23:19	16/07/2012 21:23	192	44100	255	MPEG audio file		 0000188D 00001713 0000B624 0000B1E2 000130CB 000130CB 00009317 000091BF 0000CE87 0001857D	4	08/11/2012 12:09	2	12/03/2013 14:51		B:\Music\gonedaddygone.mp3
Crazy	Gnarls Barkley				Rap & Hip Hop	4357943	181			1			02/02/2012 03:35	16/07/2012 21:22	192	44100		MPEG audio file		 	10	09/05/2013 22:33				B:\Music\Crazy.mp3
No Sugar 	Gramophonedzie					5355774	333						19/02/2013 19:09	08/11/2012 20:26	128	32000		MPEG audio file			2	11/12/2012 23:18	1	07/05/2013 14:02		B:\Music\Joey Negro  Gramophonedzie   No Sugar (Club Mix).mp3
Street Lady	Gramophonedzie   					6148731	383						19/02/2013 19:02	08/11/2012 20:26	128	32000		MPEG audio file			3	13/01/2013 18:41				B:\Music\Gramophonedzie   Street Lady (Original Mix).mp3
Why Don't You 	Gramophonedzie   					3396028	211						19/02/2013 19:02	08/11/2012 20:26	128	32000		MPEG audio file			5	23/04/2013 15:25	2	07/05/2013 14:03		B:\Music\Gramophonedzie   Why Don't You (Dubstep Mix) [HQ].mp3
Sweet Child O  Mine	Guns N Roses 					5847363	365						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			3	22/04/2013 20:03	1	08/03/2013 12:38		B:\Music\Guns N Roses Sweet Child O  Mine{LYRICS IN VIDEO}.mp3
Knocking On Heaven's Door	Guns N Roses   					4643480	289						19/02/2013 19:02	09/02/2013 13:17	128	32000		MPEG audio file			3	25/04/2013 13:47	2	09/05/2013 18:41		B:\Music\Guns N Roses   Knocking On Heaven's Door.mp3
Paradise City	Guns N' Roses   					6567885	409						19/02/2013 19:02	08/02/2013 16:42	128	32000		MPEG audio file			4	21/04/2013 17:32	1	02/03/2013 18:49		B:\Music\Guns N' Roses   Paradise City.mp3
Stereo Hearts	Gym Class Heroes ft Adam Levine					3436378	213						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			7	08/11/2012 12:32				B:\Music\Gym Class Heroes Stereo Hearts ft Adam Levine OFFICIAL VIDEO.mp3
Since You Been Gone	Head East					1650783	205						04/09/2012 23:19	16/07/2012 21:22	64	22050		MPEG audio file			7	09/05/2013 20:40	1	14/10/2012 19:40		B:\Music\Head East - Since You Been Gone.mp3
Ring a Ding Baby!	Icky   					3417335	212						19/02/2013 19:08	08/11/2012 23:53	128	32000		MPEG audio file			2	11/12/2012 23:12	1	07/05/2013 14:04		B:\Music\Icky   Ring a Ding Baby!.mp3
 It's your thing 	The Isley Brothers					1355711	168						04/09/2012 23:19	16/07/2012 21:22	64	22050		MPEG audio file			8	23/04/2013 09:05	2	07/05/2013 14:04		B:\Music\It 39s your thing -The Isley Brothers.mp3
Fight The Power 	The Isley Brothers 					5142478	320						30/11/2012 21:49	16/07/2012 21:22	128	44100		MPEG audio file			11	07/05/2013 10:53	1	19/02/2013 19:58		B:\Music\The Isley Brothers - Fight The Power (Part 1 &amp; 2) (1975) (1).mp3
Summer Breeze 	The Isley Brothers 					6050283	377						30/11/2012 21:48	16/07/2012 21:22	128	44100		MPEG audio file			7	03/04/2013 10:04				B:\Music\Summer Breeze - The Isley Brothers (1).mp3
Sex Machine Get on up	James Brown   					5077276	316						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			8	01/04/2013 20:10	2	21/02/2013 18:14		B:\Music\James Brown   Sex Machine Get on up.mp3
Are You Gonna Be My Girl	Jet					3664984	228						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			10	07/05/2013 16:30	1	19/04/2013 12:51		B:\Music\Jet - Are You Gonna Be My Girl.mp3
You Can Get It If You Really Want	Jimmy Cliff					2632976	163			1	12		23/03/2008 21:29	16/07/2012 21:23	128	44100		AAC audio file			9	09/05/2013 17:11	1	08/10/2012 17:03		B:\Music\You Can Get It If You Really Want.m4a
Many Rivers To Cross	Jimmy Cliff					2946908	182			4	12		04/09/2012 23:08	16/07/2012 21:23	128	44100		AAC audio file			4	22/04/2013 16:05	1	05/03/2013 17:47		B:\Music\Many Rivers To Cross.m4a
The Harder They Come	Jimmy Cliff					3615377	223			6	12		04/09/2012 23:09	16/07/2012 21:23	128	44100		AAC audio file			7	18/04/2013 12:20				B:\Music\The Harder They Come.m4a
Sitting In Limbo	Jimmy Cliff					2131253	127			10	12		23/03/2008 21:42	16/07/2012 21:23	128	44100		AAC audio file			9	09/05/2013 23:19	1	28/02/2013 16:45		B:\Music\Sitting In Limbo.m4a
Just A Small Town Girl	Journey					4033626	251						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file								B:\Music\JOURNEY-JUST A SMALL TOWN GIRL.mp3
Civilization	Justice					3657035	227						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			15	08/05/2013 19:04	2	03/04/2013 11:43		B:\Music\Justice - Civilization.mp3
DVNO	Justice					3787848	235						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			12	09/05/2013 22:27	1	26/04/2013 12:53		B:\Music\Justice - DVNO.mp3
Dance	Justice 					2920167	181						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			15	10/05/2013 22:58				B:\Music\Justice - DANCE HD.mp3
Helix 	Justice 					4285640	266						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			9	09/05/2013 21:26	1	17/07/2012 12:17		B:\Music\Justice - Helix Full version.mp3
NewJack	Justice 					3483578	216						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			15	22/04/2013 13:25				B:\Music\Justice - NewJack.mp3
