Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equaliser	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Yes Sir Boss	Not Guilty					3739658	232						19/11/2012 00:52	31/07/2012 17:44	128	44100		MPEG audio file			16	22/04/2013 17:31	1	15/10/2012 16:14		B:\Music\Yes Sir Boss - Not Guilty (Official Video).mp3
Roll With It	Oasis	Noel Gallagher	(What's The Story) Morning Glory?		Rock	3834393	241	1	1	2	12	1995	04/09/2012 23:08	16/07/2012 21:23	125	44100		AAC audio file					1	28/02/2013 16:56		B:\Music\Roll With It.m4a
Little Talks	Of Monsters and Men					4080399	254						30/11/2012 21:47	16/07/2012 21:22	128	44100	254	MPEG audio file			14	09/05/2013 18:46	2	08/04/2013 08:36		B:\Music\Of Monsters and Men - Little Talks.mp3
Dirty Paws	Of Monsters And Men 					4314914	268						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			16	29/03/2013 17:10	1	07/06/2012 20:07		B:\Music\Of Monsters And Men - Dirty Paws.mp3
King And Lionheart	Of Monsters And Men 					4463715	278						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			14	10/05/2013 00:30	1	08/10/2012 18:55		B:\Music\Of Monsters And Men - King And Lionheart.mp3
Lakehouse	Of Monsters And Men 					5535353	345						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			11	20/02/2013 19:02	1	09/05/2013 18:41		B:\Music\Of Monsters And Men - Lakehouse.mp3
Six Weeks	Of Monsters and Men 					5327172	332						30/11/2012 21:47	16/07/2012 21:22	128	44100	254	MPEG audio file			11	14/04/2013 15:10				B:\Music\Of Monsters  Men - Six Weeks.mp3
My Girl	Otis Redding					2869600	178						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			8	22/04/2013 16:41	2	16/12/2012 09:21		B:\Music\Otis Redding - My Girl.mp3
Hard To Handle	Otis Redding 					2246431	139						30/11/2012 21:47	16/07/2012 21:22	128	44100		MPEG audio file			12	02/05/2013 14:14	1	16/04/2013 11:52		B:\Music\Otis Redding - Hard To Handle.mp3
Roses	OutKast					2978949	372						04/09/2012 23:25	16/07/2012 21:23	64	22050		MPEG audio file			3	03/04/2013 11:36	3	09/05/2013 18:41		B:\Music\Roses.mp3
Libella Swing	Parov Stelar					4595519	286						30/11/2012 21:47	31/07/2012 20:07	128	44100		MPEG audio file			17	09/05/2013 09:15	2	07/05/2013 14:15		B:\Music\Parov Stelar - Libella Swing.mp3
Matilda	Parov Stelar					3778409	235						30/11/2012 21:47	31/07/2012 20:12	128	44100		MPEG audio file			14	09/05/2013 13:54	1	07/05/2013 14:15		B:\Music\Parov Stelar - Matilda.mp3
Monster	Parov Stelar					5043435	314						30/11/2012 21:47	31/07/2012 20:13	128	44100		MPEG audio file			13	22/04/2013 12:58				B:\Music\Parov Stelar - Monster.mp3
Catgroove	Parov Stelar 					3846118	240						30/11/2012 21:47	31/07/2012 20:07	128	44100		MPEG audio file			13	08/05/2013 18:22	2	04/04/2013 09:45		B:\Music\Parov Stelar - Catgroove.mp3
Chambermaid Swing	Parov Stelar 					5538853	345						30/11/2012 21:47	31/07/2012 20:09	128	22050		MPEG audio file			13	09/05/2013 23:50				B:\Music\Parov Stelar - Chambermaid Swing (full song).mp3
Heartbreaker	Pat Benatar 					3363591	209						19/02/2013 19:18	08/02/2013 16:45	128	32000		MPEG audio file			12	09/05/2013 17:38				B:\Music\Pat Benatar Heartbreaker.mp3
 Hit Me With Your Best Shot	Pat Benatar 					5567584	347						19/02/2013 19:18	08/02/2013 16:45	128	32000		MPEG audio file			5	10/05/2013 00:36				B:\Music\Pat Benatar  Hit Me With Your Best Shot.mp3
 I Need A Lover	Pat Benatar  					3372236	210						19/02/2013 19:17	08/02/2013 16:43	128	32000		MPEG audio file			8	08/05/2013 18:53				B:\Music\Pat Benatar   I Need A Lover.mp3
 Invincible	Pat Benatar  					4131976	257						19/02/2013 19:17	08/02/2013 16:44	128	32000		MPEG audio file			7	07/05/2013 11:10	2	28/02/2013 17:20		B:\Music\Pat Benatar   Invincible.mp3
Anxiety	Pat Benatar   					3242053	201						19/02/2013 19:17	08/02/2013 16:43	128	32000		MPEG audio file			4	11/05/2013 22:32	1	13/02/2013 13:17		B:\Music\Pat Benatar   Anxiety (Get Nervous).mp3
Love Is A Battlefield	Pat Benatar   					5106003	318						19/02/2013 19:18	08/02/2013 16:44	128	32000		MPEG audio file			11	09/05/2013 23:24	1	08/02/2013 16:44		B:\Music\Pat Benatar   Love Is A Battlefield.mp3
Shadows Of The Night	Pat Benatar   					4547858	283						19/02/2013 19:18	08/02/2013 16:44	128	32000		MPEG audio file			5	21/04/2013 15:13	2	18/04/2013 11:59		B:\Music\Pat Benatar   Shadows Of The Night.mp3
Sometimes The Good Guys Finish First	Pat Benatar   					4282338	266						19/02/2013 19:18	08/02/2013 16:44	128	32000		MPEG audio file			6	08/05/2013 18:36	2	14/04/2013 16:54		B:\Music\Pat Benatar   Sometimes The Good Guys Finish First.mp3
We Belong	Pat Benatar   					3505287	218						19/02/2013 19:18	08/02/2013 16:44	128	32000		MPEG audio file			3	22/04/2013 12:29	1	15/04/2013 17:11		B:\Music\Pat Benatar   We Belong.mp3
Wuthering Heights	Pat Benatar   					4453967	277						19/02/2013 19:18	08/02/2013 16:43	128	32000		MPEG audio file			5	09/05/2013 18:58				B:\Music\Pat Benatar   Wuthering Heights.mp3
Where is my Mind	Pixies 					3774485	234						30/11/2012 21:48	16/07/2012 21:22	128	44100		MPEG audio file			21	09/05/2013 21:21	1	21/02/2013 19:35		B:\Music\Pixies - Where is my Mind (Fight Club Soundtrack).mp3
Running Up That Hill 	Placebo 					4779265	297						30/11/2012 21:48	16/07/2012 21:23	128	44100		MPEG audio file			19	09/05/2013 22:14	1	18/03/2013 19:42		B:\Music\Placebo - Running Up That Hill LYRICS HD.mp3
Fallen Angel	Poison					3783675	235						30/11/2012 21:48	16/07/2012 21:22	128	44100		MPEG audio file			9	16/04/2013 12:11	2	07/05/2013 14:20		B:\Music\Poison - Fallen Angel.mp3
Nothing But A Good Time	Poison 					3589754	223						30/11/2012 21:48	16/07/2012 21:22	128	44100		MPEG audio file			7	29/03/2013 18:57	1	01/09/2012 10:49		B:\Music\Poison - Nothing But A Good Time.mp3
I Guess You're Right	The Posies	Darius "Take One" Minwalla/Jon Auer/Ken Stringfellow/Matt Harris	Every Kind of Light		Rock	3453832	212			4		2005	04/09/2012 23:08	16/07/2012 21:23	128	44100		AAC audio file		“I Guess You're Right” performed by The Posies from the CD Every Kind of Light, courtesy of Rykodisc, Inc. Written and composed by Jon Auer, Ken Stringfellow, Darius Minwalla, and Matt Harris. Published by Rykomusic Inc. and Darius Minwalla’s and Matt Har	10	09/05/2013 17:08	2	28/02/2013 16:47		B:\Music\I Guess You're Right.m4a
Loaded 	Primal Scream					6778326	422						30/11/2012 21:48	16/07/2012 21:22	128	44100	254	MPEG audio file			11	09/05/2013 17:24				B:\Music\Primal Scream - Loaded lyrics.mp3
Country Girl	Primal Scream 					1822566	237						04/09/2012 23:24	16/07/2012 21:22	8	22050	255	MPEG audio file			7	02/05/2013 19:07	6	12/04/2013 14:51		B:\Music\Primal Scream - Country Girl lyrics.mp3
Movin On Up 	Primal Scream 					3875182	241						30/11/2012 21:48	16/07/2012 21:22	128	44100	254	MPEG audio file			14	09/05/2013 20:56				B:\Music\Primal Scream - Movin On Up lyrics.mp3
I Got A Woman	Ray Charles					2824883	175						30/11/2012 21:48	16/07/2012 21:22	128	22050		MPEG audio file			12	10/05/2013 22:55				B:\Music\Ray Charles - I Got A Woman.mp3
Cant Stop	Red Hot Chili Peppers		By The Way		Rock	6620025	275			7		2002	04/09/2008 01:13	16/07/2012 21:23	192	44100		MPEG audio file			6	25/04/2013 13:54				B:\Music\cantstop.mp3
Under the bridge	Red Hot Chili Peppers	Red Hot Chili Peppers	Greatest Hits		Rock	6772694	273			1		2003	04/09/2012 23:28	16/07/2012 21:22	198	44100		MPEG audio file		ÜberStandard - UberNet.org	11	09/05/2013 19:56	1	20/08/2012 11:05		B:\Music\Under_the_bridge.mp3
Californication 	Red Hot Chili Peppers					2415531	321						04/09/2012 23:24	16/07/2012 21:23	8	22050		MPEG audio file			4	28/02/2013 18:38				B:\Music\Red Hot Chili Peppers - Californication.mp3
Dani California	Red Hot Chili Peppers					4442514	282			7	21		15/08/2009 07:45	16/07/2012 21:23	128	44100		AAC audio file			4	29/03/2013 19:55	1	21/07/2012 13:49		B:\Music\Dani California.m4a
Snow	Red Hot Chili Peppers 					5373391	335						30/11/2012 21:48	16/07/2012 21:23	128	44100		MPEG audio file			13	07/05/2013 16:14	1	07/05/2013 14:21		B:\Music\Snow - Red Hot Chili Peppers - Lyrics.mp3
Tell Me Baby	Red Hot Chili Peppers 					3979923	248						30/11/2012 21:48	16/07/2012 21:23	128	44100		MPEG audio file			8	22/04/2013 14:03				B:\Music\Tell Me Baby-Red Hot Chili Peppers (lyrics).mp3
Ghostwriter	RJD2 					5107768	318						30/11/2012 21:48	16/07/2012 21:23	128	22050		MPEG audio file			6	08/05/2013 19:57	1	07/05/2013 14:21		B:\Music\RJD2 - Ghostwriter.mp3
Let It Loose	The Rolling Stones					5106245	318						19/02/2013 19:19	30/11/2012 21:42	128	32000		MPEG audio file			7	24/04/2013 10:27				B:\Music\THE ROLLING STONES  14 Let It Loose   (Exile On Main Street)   (1972).mp3
 Paint it Black	The Rolling Stones					3575334	223						02/03/2013 18:57	16/07/2012 21:22	128	44100		MPEG audio file			6	26/04/2013 13:16	3	21/04/2013 19:29		B:\Music\Rolling Stones- Paint it Black.mp3
Satisfaction	The Rolling Stones					3898169	242						02/03/2013 18:57	16/07/2012 21:22	128	44100	254	MPEG audio file			5	09/05/2013 21:18				B:\Music\Satisfaction-Rolling Stones.mp3
Sympathy For The Devil	The Rolling Stones					6322795	394						02/03/2013 18:58	16/07/2012 21:22	128	44100		MPEG audio file			10	06/03/2013 14:59				B:\Music\Rolling Stones- Sympathy For The Devil.mp3
Brown Sugar	The Rolling Stones 					3786574	235						02/03/2013 18:58	16/07/2012 21:22	128	44100	254	MPEG audio file			8	11/04/2013 12:34	1	06/03/2013 08:47		B:\Music\The Rolling Stones Brown Sugar.mp3
Gimme Shelter	The Rolling Stones 					4455309	277						02/03/2013 18:58	16/07/2012 21:22	128	44100	254	MPEG audio file			10	17/03/2013 14:29				B:\Music\Rolling Stones - Gimme Shelter.mp3
The Tracks of My Tears	Smokey Robinson and The Miracles		Motown 50 [Disc 1]			2803952	174						30/11/2012 21:49	16/07/2012 21:22	128	44100	254	MPEG audio file			7	08/05/2013 18:11	2	07/05/2013 14:24		B:\Music\The Tracks of My Tears - Smokey Robinson  The Miracles.mp3
The Tears Of A Clown	Smokey Robinson and The Miracles	Smokey Robinson/Stevie Wonder/Henry Cosby	Motown 50 [Disc 1]		R&B	6324863	185	1	3	12	24	1970	04/09/2012 23:09	16/07/2012 21:22	256	44100		AAC audio file			8	09/05/2013 19:45	2	07/05/2013 14:24		B:\Music\The Tears Of A Clown.m4a
You Could Be Happy Lyrics	Snow Patrol					2958597	184						30/11/2012 21:48	16/07/2012 21:22	128	44100	254	MPEG audio file			12	06/03/2013 14:07	1	07/05/2013 15:33		B:\Music\Snow Patrol - You Could Be Happy Lyrics.mp3
You're All I Have	Snow Patrol					3681248	229						30/11/2012 21:48	16/07/2012 21:22	128	44100	254	MPEG audio file			10	22/04/2013 15:47	2	05/03/2013 12:22		B:\Music\Snow Patrol - You 39re All I Have.mp3
Just Say Yes	Snow Patrol 					3935786	245						30/11/2012 21:48	16/07/2012 21:22	128	44100	254	MPEG audio file			9	09/05/2013 20:44				B:\Music\Snow Patrol - Just Say Yes.mp3
Open Your Eyes	Snow Patrol 					5623087	350						30/11/2012 21:48	16/07/2012 21:22	128	44100	254	MPEG audio file			15	07/05/2013 16:27				B:\Music\Snow Patrol - Open Your Eyes.mp3
Run	Snow Patrol 					4275192	266						30/11/2012 21:48	16/07/2012 21:22	128	44100		MPEG audio file			8	22/04/2013 16:17	3	02/05/2013 14:24		B:\Music\Snow Patrol - Run.mp3
Krack	Soulwax 					2465845	153						30/11/2012 21:48	16/07/2012 21:23	128	44100		MPEG audio file			11	09/05/2013 23:59	2	07/05/2013 14:25		B:\Music\Soulwax - Krack (Original Version).mp3
E-talking	Soulwax  					3453488	214						30/11/2012 21:48	16/07/2012 21:23	128	44100		MPEG audio file			9	23/04/2013 15:25	2	07/05/2013 14:25		B:\Music\soulwax  E-talking.mp3
Signed, Sealed, Delivered I'm Yours	Stevie Wonder	Lee Garrett/Lulu Mae Hardaway/Syreeta Wright/Stevie Wonder	Motown 50 [Disc 1]		R&B	6070606	160	1	3	21	24	1970	04/09/2012 23:10	16/07/2012 21:22	256	44100		AAC audio file			3	10/05/2013 00:39				B:\Music\Signed, Sealed, Delivered.m4a
As	Stevie Wonder					6926726	432						30/11/2012 21:48	16/07/2012 21:22	128	44100		MPEG audio file			14	18/04/2013 13:58	4	23/04/2013 09:52		B:\Music\Stevie Wonder - As.mp3
Higher Ground	Stevie Wonder					3662057	227						30/11/2012 21:48	16/07/2012 21:22	128	44100		MPEG audio file			18	23/04/2013 14:59	2	19/02/2013 20:23		B:\Music\Stevie Wonder Higher Ground.mp3
I Wish	Stevie Wonder					4048663	252						30/11/2012 21:48	16/07/2012 21:22	128	44100		MPEG audio file			14	08/05/2013 20:03	1	19/02/2013 20:07		B:\Music\Stevie Wonder - I Wish the original version.mp3
Isn't She Lovely	Stevie Wonder					3183915	198						30/11/2012 21:48	16/07/2012 21:22	128	44100		MPEG audio file			2	25/06/2012 12:00	1	19/02/2013 20:08		B:\Music\Stevie Wonder - Isn 39t She Lovely.mp3
Superstition	Stevie Wonder					1946654	242						04/09/2012 23:26	16/07/2012 21:22	64	22050		MPEG audio file			6	16/12/2012 09:51	3	09/05/2013 09:10		B:\Music\Stevie Wonder - Superstition.mp3
For Once in my Life 	Stevie Wonder 					2754258	171						30/11/2012 21:48	16/07/2012 21:22	128	44100		MPEG audio file			7	29/03/2013 15:20	5	19/02/2013 20:23		B:\Music\Stevie Wonder - For Once in my Life - The Definitive Collection.mp3
I Just Called To Say I Love You	Stevie Wonder 					6150605	383						30/11/2012 21:48	16/07/2012 21:22	128	44100		MPEG audio file			1	19/06/2012 22:39	1	19/02/2013 20:07		B:\Music\Stevie Wonder I Just Called To Say I Love You.mp3
Sir Duke	Stevie Wonder 					3816698	237						30/11/2012 21:48	16/07/2012 21:22	128	44100		MPEG audio file			10	07/05/2013 12:15	2	22/04/2013 16:45		B:\Music\Stevie Wonder - Sir Duke.mp3
Eye Of The Tiger	Survivor					3944596	245						30/11/2012 21:48	16/07/2012 21:22	128	44100		MPEG audio file			7	09/05/2013 19:37	2	21/04/2013 19:20		B:\Music\Survivor - Eye Of The Tiger (with lyrics).mp3
Hot Love	T.Rex	Marc Bolan	Hits!		Rock	11366616	299	1	1	1	20	1971	13/03/2013 19:16	16/07/2012 21:22	256	44100		AAC audio file			8	29/03/2013 16:52	1	28/02/2013 16:45		B:\Music\Hot Love.m4a
Ride A White Swan	T.Rex	Marc Bolan	Hits!		Rock	4702256	135	1	1	2	20	1970	13/03/2013 19:21	16/07/2012 21:22	256	44100		AAC audio file			10	09/05/2013 19:10				B:\Music\Ride A White Swan.m4a
Get It On	T.Rex	Marc Bolan	Hits!		Rock	9768334	266	1	1	3	20	1971	13/03/2013 19:22	16/07/2012 21:22	256	44100		AAC audio file			6	09/05/2013 22:46				B:\Music\Get It On.m4a
Telegram Sam	T.Rex	Marc Bolan	Hits!		Rock	7327319	225	1	1	4	20	1972	13/03/2013 19:24	16/07/2012 21:22	256	44100		AAC audio file			6	03/04/2013 09:37				B:\Music\Telegram Sam.m4a
Metal Guru	T.Rex	Marc Bolan	Hits!		Rock	4960938	148	1	1	5	20	1972	13/03/2013 19:25	16/07/2012 21:22	256	44100		AAC audio file			5	12/04/2013 14:36	2	12/03/2013 14:38		B:\Music\Metal Guru.m4a
Children Of The Revolution	T.Rex	Marc Bolan	Hits!		Rock	4863506	149	1	1	9	20	1972	13/03/2013 19:19	16/07/2012 21:22	256	44100		AAC audio file			8	07/05/2013 11:25	2	28/02/2013 16:47		B:\Music\Children Of The Revolution.m4a
Solid Gold Easy Action	T.Rex	Marc Bolan	Hits!		Rock	4586077	141	1	1	10	20	1972	13/03/2013 19:20	16/07/2012 21:22	256	44100		AAC audio file			5	09/05/2013 20:11	2	12/04/2013 13:59		B:\Music\Solid Gold Easy Action.m4a
I Love To Boogie	T.Rex	Marc Bolan	Hits!		Rock	4422543	136	1	1	20	20	1976	13/03/2013 19:21	16/07/2012 21:22	256	44100		AAC audio file			1	22/04/2013 15:36	3	11/05/2013 22:15		B:\Music\I Love To Boogie.m4a
Get Ready	The Temptations	Smokey Robinson	Motown 50 [Disc 1]		R&B	5112608	153	1	3	6	24	1966	04/09/2012 23:09	16/07/2012 21:22	256	44100		AAC audio file			6	26/04/2013 12:58	1	28/02/2013 16:48		B:\Music\Get Ready.m4a
Boys Are Back In Town 	Thin Lizzy					6362289	264						30/11/2012 21:46	16/07/2012 21:22	192	44100		MPEG audio file								B:\Music\Boys Are Back In Town Thin Lizzy.mp3
Funky Vodka 	TJR   					5825006	363						19/02/2013 19:21	08/11/2012 20:26	128	32000		MPEG audio file			4	10/05/2013 00:05	1	07/05/2013 14:31		B:\Music\TJR   Funky Vodka (Original Mix).mp3
Follow me 	Uncle Kracker					3646297	226						30/11/2012 21:46	16/07/2012 21:22	128	44100		MPEG audio file			14	29/03/2013 15:31	2	22/04/2013 19:57		B:\Music\Follow me - Uncle Kracker.mp3
Needle In A Haystack	The Velvelettes	Norman Whitfield/William Mickey Stevenson	Motown 50 [Disc 1]		R&B	4922969	151	1	3	5	24	1964	04/09/2012 23:09	16/07/2012 21:22	256	44100		AAC audio file			2	28/02/2013 17:05	1	02/05/2013 19:20		B:\Music\Needle In A Haystack.m4a
Make My Day	Waldeck					2753977	171						08/02/2013 23:19	08/11/2012 20:26	128	32000		MPEG audio file			12	09/05/2013 17:24				B:\Music\Make My Day.mp3
Memories	Waldeck   					3669038	228						19/02/2013 19:22	25/11/2012 14:00	128	32000		MPEG audio file			6	06/05/2013 11:01				B:\Music\Waldeck   Memories.mp3
Lowrider 	War					4669534	193						30/11/2012 21:47	16/07/2012 21:22	192	44100		MPEG audio file			8	06/05/2013 11:04	3	07/05/2013 14:32		B:\Music\Lowrider War.mp3
Buttons	The Weeks					5747242	358						19/02/2013 19:05	16/07/2012 23:18	128	44100		MPEG audio file			13	07/05/2013 14:38				B:\Music\Weeks - Buttons.mp3
Teenage Dirtbag	Wheatus					1932734	244						04/09/2012 23:26	16/07/2012 21:22	8	22050		MPEG audio file			2	05/07/2012 10:35				B:\Music\Teenage Dirtbag.mp3
Seven Nation Army	White stripes					1907946	238						04/09/2012 23:25	16/07/2012 21:23	64	22050		MPEG audio file			8	23/04/2013 15:09	2	06/05/2013 10:55		B:\Music\Seven Nation Army.mp3
Traveling Song	Will.I.am					3464476	215						30/11/2012 21:50	16/07/2012 21:22	128	44100		MPEG audio file			19	08/05/2013 19:00	1	21/02/2013 19:35		B:\Music\Traveling Song from Madagascar 2 - Will.I.am.mp3
Crystalised	The XX					3231106	201						30/11/2012 21:49	16/07/2012 21:22	128	44100	254	MPEG audio file			11	08/05/2013 19:52				B:\Music\The xx - Crystalised.mp3
Intro	The XX					2063328	128						30/11/2012 21:49	16/07/2012 21:22	128	44100	254	MPEG audio file			9	02/05/2013 12:10	1	09/05/2013 16:35		B:\Music\The xx - Intro.mp3
Islands	The XX					2607511	162						30/11/2012 21:49	16/07/2012 21:22	128	44100	254	MPEG audio file			14	02/05/2013 12:12	1	12/04/2013 12:56		B:\Music\The xx - Islands.mp3
Night Time	The XX					7046638	219						30/11/2012 21:49	16/07/2012 21:22	256	44100		MPEG audio file			11	02/05/2013 12:16	2	22/10/2012 18:31		B:\Music\The XX - Night Time.mp3
VCR	The XX					2849928	177						30/11/2012 21:49	16/07/2012 21:22	128	44100	252	MPEG audio file			9	07/05/2013 12:02	2	21/04/2013 19:31		B:\Music\The xx - VCR.mp3
